timestamp,open,high,low,close,volume,RSI,RSI_signal,EMA9,EMA21,EMA_signal,CROSS_UP,CROSS_DOWN,ENTRY_LONG,ENTRY_SHORT,TRADE_SIGNAL,BB_upper,BB_lower,BB_signal,CONSENSUS
2025-09-19 04:00:00+00:00,1411.2,1411.3,1408.5,1408.9,84182,34.844852558390315,HOLD,1412.0573014419208,1413.0659836771185,SELL,False,False,False,False,HOLD,1417.1601298587577,1409.4998701412421,BUY,HOLD
2025-09-19 04:05:00+00:00,1409.2,1409.2,1407.5,1408.0,98185,32.81339851605553,HOLD,1411.2458411535367,1412.6054397064713,SELL,False,False,False,False,HOLD,1417.4679350736708,1408.542064926329,BUY,HOLD
2025-09-19 04:10:00+00:00,1407.9,1408.8,1406.8,1408.2,105988,33.737896059510945,HOLD,1410.6366729228296,1412.2049451877012,SELL,False,False,False,False,HOLD,1417.5079112599567,1407.8220887400432,HOLD,HOLD
2025-09-19 04:15:00+00:00,1407.9,1407.9,1406.0,1406.9,108805,30.7737378641324,HOLD,1409.8893383382638,1411.7226774433648,SELL,False,False,False,False,HOLD,1417.7215942497269,1406.878405750273,HOLD,HOLD
2025-09-19 04:20:00+00:00,1407.0,1407.5,1406.6,1407.0,43047,31.273940706885597,HOLD,1409.3114706706112,1411.2933431303316,SELL,False,False,False,False,HOLD,1417.892537398489,1406.0974626015109,HOLD,HOLD
2025-09-19 04:25:00+00:00,1406.8,1407.4,1405.7,1406.0,87284,29.016072520257154,BUY,1408.649176536489,1410.812130118483,SELL,False,False,False,False,HOLD,1418.0767307251242,1405.1932692748753,HOLD,BUY
2025-09-19 04:30:00+00:00,1406.3,1406.3,1403.6,1404.7,140679,26.35249271448582,BUY,1407.8593412291914,1410.2564819258937,SELL,False,False,False,False,HOLD,1418.2342559008,1404.1257440991997,HOLD,BUY
2025-09-19 04:35:00+00:00,1404.8,1406.1,1404.0,1405.9,52149,32.511093514349625,HOLD,1407.4674729833532,1409.8604381144487,SELL,False,False,False,False,HOLD,1418.262670277865,1403.447329722135,HOLD,HOLD
2025-09-19 04:40:00+00:00,1405.9,1406.0,1405.0,1405.8,72962,32.26892817711642,HOLD,1407.1339783866827,1409.4913073767714,SELL,False,False,False,False,HOLD,1418.1708607901178,1402.8291392098822,HOLD,HOLD
2025-09-19 04:45:00+00:00,1406.0,1406.0,1404.0,1404.5,69042,29.221643192633437,BUY,1406.6071827093463,1409.0375521607014,SELL,False,False,False,False,HOLD,1418.1332776768988,1402.046722323101,HOLD,BUY
2025-09-19 04:50:00+00:00,1404.8,1406.1,1404.2,1406.0,64278,36.65482356592506,HOLD,1406.4857461674771,1408.7614110551829,SELL,False,False,False,False,HOLD,1417.8722705328437,1401.6177294671566,HOLD,HOLD
2025-09-19 04:55:00+00:00,1405.9,1406.4,1405.6,1405.9,72306,36.38051682240994,HOLD,1406.3685969339817,1408.501282777439,SELL,False,False,False,False,HOLD,1417.3283874406136,1401.3216125593865,HOLD,HOLD
2025-09-19 05:00:00+00:00,1405.8,1406.8,1404.3,1405.0,123586,33.92020046522883,HOLD,1406.0948775471854,1408.1829843431262,SELL,False,False,False,False,HOLD,1416.6657483824395,1401.0242516175606,HOLD,HOLD
2025-09-19 05:05:00+00:00,1405.0,1405.9,1405.0,1405.4,23190,35.99204981911805,HOLD,1405.9559020377483,1407.9299857664782,SELL,False,False,False,False,HOLD,1415.8772242062112,1400.9027757937886,HOLD,HOLD
2025-09-19 05:10:00+00:00,1405.4,1405.6,1405.2,1405.5,17906,36.527843275132014,HOLD,1405.8647216301988,1407.7090779695257,SELL,False,False,False,False,HOLD,1414.4391457795052,1401.2608542204946,HOLD,HOLD
2025-09-19 05:15:00+00:00,1405.3,1405.5,1405.0,1405.3,39889,35.880936156500596,HOLD,1405.751777304159,1407.4900708813868,SELL,False,False,False,False,HOLD,1412.7553076536856,1401.8746923463145,HOLD,HOLD
2025-09-19 05:20:00+00:00,1405.2,1405.4,1404.9,1405.1,36009,35.2094124322106,HOLD,1405.6214218433272,1407.2727917103516,SELL,False,False,False,False,HOLD,1410.9630220343727,1402.6769779656277,HOLD,HOLD
2025-09-19 05:25:00+00:00,1405.0,1405.5,1404.9,1405.1,23914,35.2094124322106,HOLD,1405.5171374746617,1407.0752651912287,SELL,False,False,False,False,HOLD,1410.4763241569806,1402.6636758430193,HOLD,HOLD
2025-09-19 05:30:00+00:00,1405.1,1405.3,1404.6,1404.9,34677,34.46141506659971,HOLD,1405.3937099797295,1406.8775138102078,SELL,False,False,False,False,HOLD,1409.6974491074532,1402.852550892547,HOLD,HOLD
2025-09-19 05:35:00+00:00,1404.9,1406.3,1404.0,1405.5,136273,38.67076268701979,HOLD,1405.4149679837838,1406.752285282007,SELL,False,False,False,False,HOLD,1408.417945640442,1403.542054359558,HOLD,HOLD
2025-09-19 05:40:00+00:00,1405.2,1405.7,1404.6,1405.3,29789,37.79926837885182,HOLD,1405.391974387027,1406.620259347279,SELL,False,False,False,False,HOLD,1407.827183682501,1403.7728163174988,HOLD,HOLD
2025-09-19 05:45:00+00:00,1405.2,1405.6,1405.0,1405.5,23971,39.273099146725116,HOLD,1405.4135795096217,1406.5184175884353,SELL,False,False,False,False,HOLD,1407.4196157768745,1403.9303842231254,HOLD,HOLD
